killsDiff,minionsKilledDiff,wardPlacedDiff,firstBlood,heralds,dragons,teamWins
2,-4,1,red,none,blue,red
-2,-8,-3,red,blue,red,blue
5,14,-25,blue,blue,blue,blue
-4,-12,19,blue,none,none,red
-6,-23,-8,red,none,red,red
8,9,0,blue,none,blue,blue
-4,-19,-2,red,none,none,red
-8,-38,-6,blue,none,red,red
3,-28,-3,blue,none,blue,red
2,-39,-4,red,none,blue,red
6,-15,-24,blue,none,red,red
-6,-1,2,red,none,red,red
-6,-50,-1,red,none,none,red
0,50,3,red,blue,none,red
4,-26,1,blue,none,blue,blue
-3,27,5,blue,none,blue,red
-8,-76,-4,red,none,red,red
3,40,3,red,none,none,red
-7,-26,26,red,red,none,red
0,-10,1,red,red,blue,blue
4,29,0,red,blue,blue,red
-1,-15,-3,red,blue,blue,red
3,15,2,blue,blue,blue,blue
5,39,2,blue,blue,blue,blue
-1,11,-4,red,none,none,red
-1,-30,-5,blue,none,blue,blue
10,-8,4,blue,none,none,blue
5,11,1,blue,none,blue,blue
-4,-92,53,red,none,none,blue
6,11,0,red,none,blue,blue
-1,2,-5,red,none,blue,blue
-10,-99,2,red,none,red,red
1,-5,1,red,none,blue,red
0,-15,-7,red,none,red,blue
3,3,46,blue,blue,none,blue
-1,-6,-25,blue,red,red,red
1,-2,-10,red,none,red,blue
3,47,3,red,none,none,blue
1,-57,15,blue,none,none,blue
1,23,-2,blue,blue,blue,blue
4,27,-4,red,none,blue,blue
7,8,-5,blue,blue,none,blue
3,16,-25,blue,none,blue,red
1,1,-2,blue,none,blue,red
-2,16,-2,red,none,blue,red
6,45,-1,red,none,none,blue
4,17,0,red,none,red,blue
0,-7,-25,red,red,blue,red
-5,-15,2,blue,none,red,red
-1,-29,1,red,none,red,blue
1,-16,0,blue,none,blue,blue
1,30,18,blue,none,none,blue
-7,22,1,blue,red,red,red
0,-11,0,red,none,blue,blue
-6,-15,-37,red,red,red,red
8,10,-22,blue,none,blue,blue
0,15,-18,red,red,blue,blue
4,-18,15,blue,blue,blue,blue
-1,4,-30,blue,none,blue,red
-7,4,-31,red,none,red,red
-4,-25,22,blue,none,red,blue
-4,3,-5,red,none,blue,red
4,23,-37,red,none,blue,blue
-2,16,0,blue,none,blue,blue
0,53,3,red,blue,red,blue
2,9,-71,red,none,red,blue
1,31,-1,red,red,blue,red
-10,-30,-1,red,blue,red,red
-2,4,75,blue,red,none,red
-2,-16,-3,red,none,red,red
1,-4,6,blue,blue,red,red
-1,17,20,blue,none,red,red
-2,-29,-3,red,red,none,red
-5,-6,5,blue,none,blue,red
0,8,4,blue,red,blue,blue
10,1,3,blue,none,blue,blue
1,31,68,blue,blue,red,red
-4,30,-25,red,blue,red,red
5,36,-15,blue,blue,red,red
-1,-22,-18,blue,red,none,red
-2,0,4,red,none,red,blue
6,-42,-5,red,none,none,blue
5,3,5,red,none,none,blue
-5,-26,-7,red,none,blue,blue
2,-39,0,red,none,blue,red
-4,18,-3,red,none,blue,blue
0,-32,-20,red,none,none,red
-3,11,-2,red,none,blue,red
1,-38,-2,red,none,none,red
-4,-45,-2,blue,blue,red,red
-2,-2,-13,red,red,red,red
-1,39,-9,red,none,red,red
-3,-17,3,blue,none,blue,red
-4,-17,65,blue,blue,red,red
-5,-47,-3,red,red,red,red
0,7,11,blue,none,blue,blue
-6,20,2,blue,none,red,red
0,-9,-9,blue,none,none,red
2,-11,5,blue,none,none,blue
4,6,1,blue,none,blue,blue
2,-23,-2,blue,none,red,red
0,-36,-3,blue,none,none,red
-10,-67,-3,red,none,blue,red
9,95,-19,blue,red,blue,blue
-2,-3,-3,red,red,red,red
-8,-49,-4,red,none,none,red
10,41,3,blue,none,none,blue
2,71,-4,red,none,blue,blue
3,17,-25,red,none,blue,blue
1,29,3,red,blue,red,blue
-8,-61,-9,red,none,red,red
-1,-59,1,blue,red,red,blue
-7,-66,-1,red,none,red,red
1,-46,-6,blue,red,red,red
-2,-21,-20,red,none,none,blue
7,34,10,blue,none,none,blue
10,-2,-2,red,none,none,blue
0,30,-3,blue,blue,blue,red
-1,-60,2,red,none,red,red
2,45,-53,blue,red,blue,blue
-5,40,1,red,red,red,red
3,17,-24,red,blue,none,red
0,30,5,blue,none,blue,red
3,16,5,blue,none,none,blue
-8,-11,1,blue,none,red,red
-3,-11,-5,blue,none,none,red
2,36,10,blue,red,blue,blue
2,-14,-2,red,red,red,blue
-1,-26,-22,red,none,blue,blue
-2,-14,-2,red,blue,red,red
4,4,-2,blue,none,red,blue
-3,14,8,blue,blue,red,blue
-1,-24,-5,red,none,blue,red
-8,-65,-29,red,none,red,red
-6,-6,-1,blue,blue,red,red
2,-12,-22,blue,none,blue,blue
2,-16,41,blue,none,red,blue
-5,-6,0,red,blue,red,red
0,-63,-1,red,none,red,red
11,74,-3,red,none,blue,blue
-6,20,-30,blue,blue,red,red
-4,-38,-3,red,none,red,red
-5,-12,-8,blue,none,red,red
-6,-14,-57,red,none,red,red
3,29,6,blue,none,red,blue
3,29,-43,blue,none,blue,blue
-2,-9,-6,red,none,red,blue
-6,-10,-7,red,none,red,red
-3,-3,0,blue,none,red,blue
-1,25,-26,red,none,none,red
5,-21,97,blue,none,blue,blue
-2,-58,3,red,none,red,red
4,12,18,blue,none,none,blue
7,15,7,red,none,none,blue
0,11,-2,red,blue,blue,blue
1,-30,-45,blue,blue,red,blue
-8,-11,-5,red,none,none,red
7,14,-3,red,blue,red,blue
-4,-16,-3,blue,none,red,blue
-2,-30,2,blue,none,none,blue
-2,-9,22,blue,none,blue,red
7,67,-9,blue,none,red,blue
-1,15,-93,red,blue,red,red
1,-9,24,blue,none,none,blue
-2,-65,22,blue,none,blue,blue
7,10,-62,blue,blue,none,red
9,6,7,blue,none,blue,blue
8,23,-2,blue,none,blue,blue
-2,-29,15,red,none,none,red
-10,-29,-4,red,none,none,red
-3,10,24,blue,none,red,red
-6,-27,-3,red,none,red,red
2,20,-3,blue,none,blue,blue
5,35,-26,blue,none,red,blue
-3,11,-1,red,blue,red,blue
-9,-19,33,red,none,red,red
0,-3,3,red,blue,none,red
-4,-45,-4,red,none,blue,red
-1,1,-66,blue,blue,red,red
1,-9,-8,blue,none,none,red
10,2,-17,blue,blue,none,blue
4,-9,0,blue,none,blue,blue
1,4,1,blue,none,none,blue
2,18,75,red,blue,red,red
1,40,37,red,none,blue,blue
-4,-27,-2,red,blue,none,red
-3,-75,21,red,none,blue,red
-3,-21,3,red,none,red,red
5,50,2,blue,none,red,blue
5,53,3,blue,none,red,red
-2,23,2,blue,red,red,blue
1,-9,-1,blue,none,none,blue
5,6,-4,blue,blue,none,blue
4,-49,2,blue,blue,red,red
-1,47,0,red,none,none,red
1,-27,6,red,blue,none,red
-5,-4,-9,red,none,red,blue
2,17,9,blue,none,none,blue
-5,-25,-4,red,red,red,red
2,13,-14,blue,red,red,red
-6,-5,-3,blue,none,blue,blue
-4,3,2,red,blue,blue,blue
7,1,-1,blue,blue,blue,blue
6,3,18,blue,none,none,blue
-2,7,1,blue,none,red,red
7,55,20,blue,none,none,blue
-3,-9,5,red,none,none,red
0,-22,4,blue,none,red,red
-3,24,-72,red,blue,none,red
-1,2,69,red,red,red,blue
-9,-43,0,red,blue,red,red
3,-4,-27,red,none,red,blue
3,18,28,red,none,blue,blue
-5,2,-3,red,none,red,red
3,-25,-2,blue,none,blue,blue
1,16,-2,blue,blue,red,blue
-3,-31,-26,blue,none,blue,red
7,63,-6,red,none,blue,blue
-1,30,-1,red,none,red,red
0,21,-2,red,red,red,red
2,-17,1,blue,none,none,red
0,-45,-5,blue,red,red,red
-4,-17,6,red,none,red,red
-1,29,5,blue,none,red,red
2,20,3,red,none,red,blue
-1,39,-43,red,red,red,red
0,10,22,blue,none,red,red
5,-2,19,blue,none,blue,blue
-3,-11,10,blue,none,red,red
1,-23,-44,blue,blue,blue,red
-5,-26,-1,red,none,blue,red
-6,-1,0,red,red,blue,blue
5,31,-29,blue,blue,blue,blue
0,-2,1,blue,red,blue,blue
1,36,-3,red,none,blue,red
-1,21,-5,red,red,blue,blue
-11,-51,-2,blue,none,red,red
1,-36,37,red,red,red,blue
8,25,-7,blue,none,none,blue
-1,-29,28,red,none,red,red
3,65,-3,blue,none,blue,blue
2,6,-2,blue,none,blue,blue
1,30,-5,blue,red,blue,blue
8,5,0,blue,none,none,blue
1,84,9,red,blue,red,blue
-2,-25,116,red,none,blue,blue
3,5,-41,blue,none,blue,blue
-3,-35,-2,red,none,red,red
8,54,1,blue,blue,red,blue
3,17,23,blue,none,blue,blue
1,-23,-41,blue,none,none,blue
-10,-90,-1,red,red,red,red
-2,-20,-4,blue,none,blue,blue
2,55,3,blue,none,none,blue
3,5,-2,blue,blue,blue,red
1,-10,1,blue,blue,none,blue
-2,-4,6,blue,none,red,red
0,-38,-1,blue,none,none,blue
-2,28,1,blue,red,red,red
4,-21,-4,blue,none,red,blue
2,-40,0,blue,none,none,blue
-3,-9,-2,red,blue,blue,blue
6,15,-12,blue,none,none,blue
3,-31,60,blue,none,blue,red
2,-3,-1,red,none,red,red
-2,40,1,blue,none,red,red
-4,-48,-1,red,none,red,red
0,12,-34,red,none,red,red
1,9,5,blue,blue,blue,blue
-1,-36,-21,blue,none,red,red
2,18,-6,red,blue,red,blue
2,-16,1,red,none,red,blue
-4,16,-5,red,none,red,blue
2,18,2,red,blue,red,blue
-2,-11,-50,red,none,blue,blue
-5,-57,-3,red,red,red,red
-5,-10,1,blue,blue,none,red
-7,-23,-1,red,red,red,red
6,7,18,blue,blue,blue,blue
4,5,1,blue,none,blue,blue
-2,0,3,red,none,red,red
2,-17,-37,blue,blue,red,red
0,-27,4,blue,red,red,red
-2,-10,-8,red,red,red,red
-5,-34,-35,red,none,red,red
3,31,4,blue,blue,blue,blue
0,5,2,blue,red,red,red
0,10,3,blue,none,none,red
0,-25,-27,red,red,red,red
-8,-45,-2,red,none,blue,red
-1,3,-3,red,none,none,red
-4,-39,2,blue,none,red,red
-1,-7,5,blue,none,red,blue
0,-1,-77,red,red,red,red
5,30,2,blue,none,blue,blue
-1,-25,-4,blue,red,none,red
-1,-50,-5,red,none,none,blue
-5,-40,-7,red,red,red,red
2,62,2,red,red,none,blue
-1,-24,2,blue,none,blue,blue
3,30,31,blue,blue,blue,blue
2,7,1,blue,blue,blue,blue
-1,-2,-2,red,blue,none,blue
0,-30,123,blue,none,blue,blue
3,29,2,red,none,none,blue
-2,19,2,red,none,red,red
4,0,4,blue,none,none,red
-1,12,-22,blue,none,red,red
0,2,2,blue,red,red,red
-5,-37,-3,blue,blue,red,red
2,27,14,blue,none,none,blue
-2,-11,-3,red,none,red,red
-1,-24,-2,red,none,red,red
-1,87,-2,red,none,red,red
0,-13,0,red,none,red,blue
-2,-31,-3,blue,none,red,red
-2,-29,-1,blue,none,none,red
1,-25,-2,red,red,none,red
-10,-34,4,red,none,none,red
7,35,-2,red,red,none,blue
7,29,-1,blue,none,none,red
-1,18,22,blue,none,blue,blue
-1,6,-49,red,none,blue,blue
-5,-27,-2,red,red,red,red
-7,-32,3,blue,none,red,red
1,-36,-4,red,blue,red,red
-3,-8,6,red,none,red,red
-5,-50,1,red,red,red,red
4,-10,-5,blue,blue,blue,blue
-7,53,153,red,none,red,red
-2,17,-3,red,none,none,red
6,1,-41,red,blue,red,blue
2,-83,4,red,blue,red,red
3,21,-2,blue,none,blue,blue
-1,17,4,red,none,blue,blue
-3,-5,1,red,red,red,blue
-4,-7,-21,red,none,red,red
1,26,1,red,none,none,blue
4,7,6,blue,none,blue,blue
-3,-42,34,red,none,blue,blue
-7,-21,28,red,none,red,red
-1,36,-5,red,blue,red,blue
2,17,-3,blue,none,none,blue
3,23,24,blue,none,none,blue
-13,-16,-40,red,none,none,red
1,38,-26,red,blue,blue,blue
1,23,-1,red,none,blue,blue
0,-46,1,blue,red,none,blue
-1,49,-26,red,none,none,blue
-1,-39,-4,red,blue,red,red
1,31,4,red,none,blue,blue
3,-26,-1,blue,none,blue,red
0,15,58,red,none,red,blue
0,-3,4,red,none,red,red
1,-18,9,red,none,none,blue
0,21,-2,blue,none,none,red
-1,20,5,red,none,blue,blue
0,-8,-4,red,red,red,blue
-3,-67,1,blue,red,blue,red
-1,-18,6,red,none,red,red
-1,-34,0,blue,red,blue,red
-5,13,-1,red,none,red,blue
-1,32,3,blue,none,blue,blue
4,3,21,blue,blue,blue,blue
2,38,-1,red,none,blue,blue
2,16,-11,blue,none,blue,blue
5,72,-22,blue,none,red,red
-9,-52,-1,blue,none,blue,red
-4,9,-1,blue,red,blue,red
4,-12,3,blue,none,blue,blue
2,10,2,blue,none,blue,blue
3,26,-108,blue,blue,blue,red
-2,1,-1,red,none,none,red
-2,30,-24,red,red,red,blue
5,21,-1,blue,none,blue,blue
-4,-2,29,red,none,red,red
1,-25,1,blue,red,red,blue
-3,-20,-8,red,red,blue,red
1,-13,-1,red,none,blue,red
-4,14,-7,red,none,none,red
-5,7,-6,red,none,red,red
2,3,-31,red,none,none,red
1,6,-2,blue,none,red,red
0,-14,1,red,blue,red,blue
-6,-34,2,blue,none,none,red
2,-2,23,red,none,blue,blue
-4,53,-4,red,red,red,red
3,-17,-3,blue,none,red,blue
5,-2,-1,blue,none,none,red
-4,-12,70,red,none,red,blue
3,25,-22,red,red,none,blue
-2,9,-12,red,red,red,blue
-2,-43,-26,blue,none,blue,blue
0,55,-1,red,red,blue,blue
4,49,1,blue,none,blue,blue
-3,-5,-1,blue,none,none,blue
4,-16,-3,red,none,none,blue
6,11,5,blue,red,none,blue
1,-42,3,red,none,blue,red
7,20,22,blue,blue,red,blue
-4,-11,3,red,blue,none,red
-3,-44,1,blue,none,none,red
-7,-4,-23,blue,none,blue,red
4,24,23,blue,none,blue,red
3,-15,5,blue,none,blue,blue
3,-9,1,red,none,none,blue
-1,4,-4,blue,blue,red,red
-1,3,2,blue,none,red,red
2,13,38,blue,none,red,blue
2,20,1,blue,none,none,blue
3,15,3,blue,none,blue,blue
4,17,3,red,none,blue,blue
0,17,-50,red,none,none,blue
3,-18,6,blue,none,blue,red
-8,-59,3,red,red,blue,red
0,13,-16,red,red,red,blue
7,-19,16,blue,none,blue,blue
-4,-82,-10,red,red,blue,red
-3,31,0,red,none,blue,red
-7,-23,55,red,none,none,red
4,41,28,blue,blue,blue,blue
-1,-3,-9,red,blue,red,blue
4,-49,21,red,none,blue,blue
2,-40,0,red,none,blue,blue
-2,8,-14,red,red,blue,blue
-5,-67,-2,red,none,red,red
-1,14,-1,blue,none,blue,blue
0,35,-21,blue,blue,red,blue
3,-15,15,blue,none,blue,blue
0,-17,-189,red,blue,blue,blue
9,23,1,blue,none,blue,blue
-5,-31,-41,red,none,red,red
5,53,5,blue,blue,blue,blue
-1,-21,35,blue,none,red,blue
5,28,6,blue,blue,none,blue
3,10,-4,blue,none,blue,red
1,8,-2,red,blue,blue,red
-2,-20,-11,blue,blue,red,red
-4,0,4,blue,none,red,red
-1,-27,-1,blue,red,red,red
-4,-46,-1,red,red,red,red
-1,23,-1,blue,blue,red,red
-2,-29,0,red,red,red,red
-1,-13,25,red,none,red,blue
1,4,0,red,red,none,blue
3,33,29,red,none,blue,blue
2,-13,39,blue,none,red,red
4,-16,6,red,none,blue,blue
4,13,-1,blue,blue,none,blue
5,38,24,blue,red,red,red
4,-6,-3,blue,blue,red,blue
-1,-44,-7,blue,red,none,red
-6,62,-2,red,none,none,blue
9,35,0,blue,none,blue,blue
-2,9,-4,red,none,red,blue
0,-22,1,red,red,blue,blue
3,-7,-14,blue,none,none,blue
-3,-13,9,red,none,none,red
-8,8,2,red,none,none,red
4,18,40,blue,none,none,red
0,-61,-18,red,none,blue,blue
0,-5,1,red,red,blue,blue
1,32,-3,blue,none,blue,red
-3,-1,-24,blue,none,blue,red
8,60,-1,blue,blue,blue,blue
3,92,0,blue,blue,red,blue
1,22,-2,blue,blue,red,blue
-1,6,-37,red,none,blue,red
-1,21,1,blue,none,blue,blue
3,-13,-63,blue,red,none,red
-2,-22,4,red,none,blue,red
-3,13,-2,blue,red,red,red
0,-59,-2,red,red,none,red
-2,27,2,red,blue,red,red
-1,-17,1,red,none,blue,red
-8,-18,-20,red,none,red,red
2,22,26,blue,none,red,blue
-3,36,-20,blue,red,none,blue
7,20,-15,red,none,red,blue
1,-87,0,blue,red,blue,blue
-2,-1,3,blue,none,red,red
0,-45,-1,red,blue,red,blue
-2,-8,-4,red,none,blue,blue
7,2,0,blue,blue,blue,blue
0,19,3,blue,red,blue,blue
3,44,25,blue,blue,blue,blue
-3,18,-2,red,red,red,blue
-8,-47,-15,red,none,blue,red
-1,37,1,red,none,blue,red
7,18,-4,blue,none,red,blue
-3,-15,23,blue,none,red,red
-1,-20,-40,red,red,red,blue
-8,-10,5,blue,none,red,red
2,-4,25,blue,none,red,blue
-5,-8,-5,red,red,red,blue
1,-5,-26,blue,none,blue,blue
3,2,20,blue,red,red,blue
-5,-10,11,blue,red,red,blue
-2,34,-25,red,red,red,red
6,20,-6,blue,none,blue,blue
0,7,1,red,none,red,blue
2,-8,-19,blue,none,blue,blue
1,-11,5,blue,none,none,red
-1,-38,1,blue,blue,none,blue
-2,-2,-34,red,none,red,red
1,17,6,blue,red,blue,blue
0,4,69,red,none,blue,blue
5,-4,3,blue,blue,blue,red
3,-3,-1,blue,blue,red,blue
-3,-36,-4,red,none,none,red
-2,-55,-6,blue,none,blue,blue
-2,-82,-3,blue,red,blue,red
1,-18,36,red,none,red,red
-1,-4,3,blue,none,red,red
-5,-11,-5,red,none,red,red
7,-4,-9,blue,none,none,red
-5,20,3,red,none,red,red
3,-5,2,blue,none,blue,blue
-2,-2,4,red,none,red,red
1,30,-2,red,none,blue,blue
-1,12,-18,blue,red,red,red
-2,-24,-1,red,none,none,red
1,18,-25,blue,red,none,red
-6,-26,-30,red,none,red,red
7,13,-3,blue,none,blue,blue
-7,-78,-23,red,none,blue,red
-3,-9,-13,blue,none,none,red
3,43,19,blue,none,none,blue
4,-1,7,blue,none,red,red
5,39,2,blue,none,blue,blue
6,66,-26,blue,none,blue,blue
1,1,-4,red,none,none,red
-1,19,-23,red,none,blue,red
6,4,-5,blue,none,red,blue
-4,-66,59,blue,none,red,red
-1,-16,-3,red,none,none,red
4,18,0,blue,none,blue,blue
1,-27,6,blue,none,blue,red
1,30,13,red,red,blue,red
2,-1,-15,blue,blue,none,red
-4,-42,-3,red,none,red,blue
2,46,7,blue,blue,none,blue
-1,-47,2,red,red,red,red
-1,46,1,blue,none,blue,red
1,24,-5,blue,none,blue,blue
12,21,2,blue,none,blue,blue
5,67,33,blue,blue,blue,red
3,-9,24,blue,none,blue,blue
-1,4,3,red,none,red,red
-1,-40,4,blue,none,none,red
4,-37,-1,blue,blue,red,blue
-4,0,-2,blue,none,red,red
0,-14,-3,red,blue,blue,blue
-5,20,-57,red,none,red,red
4,18,1,red,none,red,blue
1,21,3,blue,none,none,blue
0,35,-3,blue,none,red,blue
-2,35,2,red,blue,blue,blue
-3,-38,22,red,none,blue,red
-1,-9,-3,blue,none,red,red
-4,-24,-7,blue,none,red,blue
-8,-13,-1,red,red,red,red
-1,-62,-3,red,red,red,red
1,-40,-26,red,red,blue,red
1,-82,-9,red,red,blue,red
3,30,2,blue,red,blue,blue
2,2,6,red,none,none,blue
0,-1,3,red,none,red,blue
0,-34,47,blue,none,blue,red
0,24,-80,blue,red,red,blue
1,55,10,blue,none,none,blue
-7,-13,2,red,none,red,red
-9,30,-6,blue,none,none,red
2,18,14,blue,none,blue,blue
6,-10,-1,blue,blue,red,blue
0,-5,3,blue,none,blue,blue
6,-36,-4,blue,none,none,blue
-5,-48,0,red,red,red,red
3,49,1,blue,red,blue,blue
4,6,-1,blue,none,blue,blue
-1,-9,32,red,none,none,red
1,21,-2,blue,red,none,blue
6,54,5,blue,blue,blue,blue
8,37,3,blue,none,none,red
-6,-25,-2,blue,blue,none,red
0,-12,4,red,blue,blue,red
3,11,1,red,red,red,blue
0,30,-5,red,none,red,blue
4,-50,1,blue,none,blue,red
-4,15,-16,red,none,blue,blue
2,6,123,red,none,red,red
2,7,-13,blue,blue,none,blue
8,-3,1,blue,none,blue,blue
-3,-29,-1,blue,none,red,red
3,-5,2,blue,none,blue,blue
0,-48,-19,blue,red,blue,blue
-4,-8,42,red,blue,red,red
5,33,41,red,blue,blue,blue
-9,-13,3,red,red,none,red
0,-3,3,blue,none,red,blue
-5,37,-3,blue,none,blue,red
-1,46,-4,red,none,red,red
-2,7,-2,red,red,red,red
3,-12,5,blue,none,none,blue
0,25,-39,red,none,none,blue
2,-8,1,red,none,blue,red
1,-31,1,red,none,blue,red
2,-23,-14,blue,none,red,blue
2,23,-20,blue,none,none,blue
-4,-54,9,blue,none,red,red
3,-18,4,red,none,red,red
-1,-10,72,blue,none,red,red
1,-24,35,red,none,blue,red
4,84,2,blue,none,blue,blue
0,-2,22,blue,none,blue,blue
5,28,0,blue,blue,red,blue
1,3,1,blue,blue,blue,blue
4,27,3,blue,none,red,red
-6,-55,65,blue,none,red,red
0,1,-2,blue,blue,blue,blue
0,23,-33,red,blue,none,red
2,-27,2,blue,none,red,blue
4,16,44,blue,none,blue,red
-5,-64,-5,red,none,red,red
-7,-9,-5,red,none,none,red
3,53,-7,blue,none,none,blue
10,12,3,blue,none,blue,blue
4,20,-8,blue,none,none,blue
-4,-22,-45,red,blue,red,red
1,18,4,blue,none,none,red
-8,-60,-12,red,none,red,red
-4,-14,-7,red,red,red,red
-4,-28,2,red,none,blue,red
-2,-10,28,blue,none,none,red
-7,-38,-3,red,none,red,red
7,20,5,blue,none,blue,blue
-7,-24,0,red,none,blue,blue
-5,12,-7,red,none,red,red
-4,3,1,blue,none,none,red
-1,-26,3,red,none,blue,red
1,0,46,blue,none,none,red
-3,20,4,blue,none,none,red
-1,9,-2,red,none,none,red
2,13,-5,blue,none,red,red
-4,-41,-2,blue,none,red,red
10,50,-1,blue,none,blue,blue
1,-1,29,red,none,red,blue
8,60,7,blue,blue,blue,blue
-3,-42,-1,blue,red,none,blue
-2,-10,1,blue,blue,red,blue
5,4,-43,blue,none,blue,blue
0,-61,-7,blue,red,red,red
-2,-35,-1,blue,none,red,red
-4,-33,9,red,none,red,red
5,27,-14,blue,blue,red,blue
3,-14,-2,blue,none,blue,blue
-1,-22,-27,red,none,blue,red
-5,-15,-4,red,red,red,red
-3,-8,3,red,none,blue,red
-7,-20,-3,red,none,red,red
4,-15,2,blue,none,blue,red
1,29,1,blue,none,red,red
7,41,-2,blue,blue,none,blue
-2,21,-31,red,none,red,red
2,17,-58,blue,blue,blue,blue
-4,-42,1,red,red,red,red
3,-18,7,red,blue,red,red
-3,31,-40,red,blue,blue,blue
2,3,3,red,none,blue,blue
-5,-26,2,blue,red,none,red
3,6,1,red,none,blue,red
3,-13,1,red,none,none,blue
-1,15,27,blue,none,red,red
2,7,72,blue,none,red,red
-1,-19,22,red,blue,red,red
5,30,1,red,none,blue,blue
4,48,20,red,blue,blue,blue
-6,20,20,blue,none,none,blue
-3,-26,0,blue,none,none,red
4,21,-4,blue,none,red,blue
-8,-83,-19,red,red,red,red
-1,6,0,blue,none,none,blue
1,68,2,red,red,red,blue
8,28,4,blue,none,red,blue
3,-59,4,red,red,blue,blue
4,48,-1,blue,none,blue,red
5,37,-21,blue,red,red,blue
1,-13,1,red,blue,blue,blue
2,21,3,red,none,red,red
-2,61,2,red,none,blue,red
-4,-15,-27,blue,none,blue,red
-2,-10,7,blue,none,red,blue
-4,-15,0,red,none,red,red
-4,-31,18,blue,blue,red,red
1,-14,4,red,none,none,blue
5,-21,23,blue,none,none,red
-1,-20,-4,red,none,red,red
-10,-18,0,blue,none,red,red
7,25,5,blue,none,none,blue
-8,-33,0,red,red,red,red
-3,-5,-22,red,none,red,blue
-4,16,4,blue,blue,blue,red
2,51,-1,red,none,red,blue
-8,8,3,red,red,red,red
-3,-34,-23,blue,none,red,red
5,-60,-1,blue,none,blue,blue
1,-10,15,red,none,blue,red
-2,-32,-8,blue,blue,red,red
5,-33,-1,red,none,blue,red
1,21,1,red,blue,red,red
6,-16,-3,blue,none,red,red
-6,-2,10,blue,none,none,blue
-3,9,0,blue,none,blue,red
8,39,-1,blue,none,blue,blue
-4,-7,0,red,none,red,red
0,-27,5,blue,none,blue,red
-3,17,-260,red,red,red,red
4,16,108,blue,none,blue,blue
0,5,5,blue,none,none,red
1,21,-1,red,none,none,blue
0,47,-20,red,blue,blue,blue
1,47,1,blue,none,blue,blue
-2,-9,-2,blue,blue,blue,blue
-5,-23,-8,red,blue,red,blue
-2,-46,-1,blue,none,none,red
1,6,4,red,none,red,red
-6,-39,-18,red,blue,red,red
-4,-40,-1,red,none,blue,blue
0,11,-6,red,none,red,blue
-2,-14,-2,blue,red,none,blue
-1,-16,2,blue,blue,blue,blue
2,-50,2,red,none,none,red
0,14,-23,red,none,red,red
1,8,8,blue,none,blue,red
-7,-33,1,blue,red,blue,red
-6,-47,-4,blue,red,red,red
-1,9,-84,blue,none,red,red
5,-1,-23,blue,none,blue,blue
-2,41,-1,red,none,blue,blue
-2,4,-2,blue,none,none,red
-5,-4,-4,red,none,red,red
7,-27,-6,blue,blue,blue,red
7,26,1,red,none,none,blue
-1,-11,28,blue,blue,red,red
2,-20,2,blue,none,blue,red
1,-33,44,blue,none,none,blue
1,-43,-7,blue,none,none,blue
4,0,-20,blue,none,red,red
6,52,1,red,none,blue,blue
-3,41,-29,blue,none,none,blue
0,5,-1,blue,none,none,blue
4,-55,22,red,red,red,red
2,18,2,blue,none,red,red
-3,-55,-1,red,none,none,red
11,48,-1,blue,none,blue,blue
0,10,-2,blue,blue,blue,blue
-4,-37,-2,blue,red,red,red
5,41,-2,red,none,blue,blue
1,-10,2,blue,none,red,red
-5,-21,-3,red,none,red,red
-5,-36,-4,red,none,red,red
-7,13,-4,red,none,red,red
-3,8,2,red,none,red,red
-2,50,6,blue,none,red,red
-1,30,4,red,none,none,blue
0,-29,-3,blue,blue,red,blue
3,24,-40,blue,none,red,red
-9,-28,-1,red,none,none,red
7,16,1,blue,none,red,red
-6,-27,4,red,none,none,red
4,76,1,red,none,blue,blue
7,44,-2,blue,blue,red,blue
0,-39,-6,blue,none,none,red
5,3,-6,blue,none,blue,red
-1,-61,2,blue,red,blue,blue
-6,-19,-9,blue,none,red,red
8,29,-62,blue,none,none,blue
-3,-68,-1,red,none,red,red
-1,-25,5,blue,red,none,blue
2,9,0,blue,none,blue,blue
-8,-5,-4,red,red,red,red
1,-57,6,blue,red,red,red
-3,7,4,red,none,none,blue
2,45,19,blue,blue,none,blue
5,19,3,blue,red,none,blue
0,17,1,red,none,red,red
4,15,4,red,none,none,blue
-1,-51,-2,red,blue,none,blue
1,23,-2,red,none,none,red
-4,-7,-14,blue,none,blue,red
-1,25,-21,blue,none,blue,red
2,26,-30,blue,none,none,red
1,-8,26,blue,red,red,blue
6,-43,0,red,red,none,red
-8,-8,20,red,none,red,red
-3,4,-4,red,red,red,red
4,32,-35,blue,none,blue,blue
2,-12,-5,blue,blue,red,red
-9,7,-68,red,red,red,red
3,53,22,blue,none,blue,blue
-2,7,-5,red,none,none,red
-9,-20,-3,red,none,red,red
5,20,-11,blue,none,blue,red
0,3,77,red,blue,red,red
0,-2,1,red,none,blue,blue
0,-1,-1,blue,none,blue,red
0,0,2,red,blue,red,blue
0,-17,-4,red,none,none,red
-11,4,-18,red,none,red,red
2,27,22,red,red,red,blue
-1,13,-27,red,none,none,red
-7,-3,0,red,none,red,red
1,-24,0,red,blue,red,blue
0,-31,-6,blue,none,none,red
-1,-34,0,red,none,red,blue
0,40,-1,red,red,blue,blue
-4,-23,-2,blue,none,blue,blue
-5,-9,-45,red,red,red,red
-1,-18,0,red,none,red,red
3,5,5,red,none,blue,blue
